Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time	Undiscounted CV	Undiscounted CV error	Discounted CV	Discounted CV error	Timesteps	Timesteps error	GGF score	GGF score error
1	1000	[23.532 23.47]	[0.127134 0.133406]	[23.532 23.47]	[0.127134 0.133406]	8.795e-06	0.140203	0.00305626	0.140203	0.00305626	10	0	33.6	0.0516575
2	1000	[21.608 26.514]	[0.127005 0.138506]	[21.608 26.514]	[0.127005 0.138506]	1.2608e-05	0.162621	0.00354018	0.162621	0.00354018	10	0	34.125	0.0492582
4	1000	[20.181 28.613]	[0.118576 0.133316]	[20.181 28.613]	[0.118576 0.133316]	1.977e-05	0.199193	0.00388312	0.199193	0.00388312	10	0	34.1535	0.0494337
8	1000	[20.129 28.871]	[0.11986 0.130784]	[20.129 28.871]	[0.11986 0.130784]	3.7796e-05	0.203004	0.00390946	0.203004	0.00390946	10	0	34.2535	0.0501048
16	1000	[19.136 30.516]	[0.114671 0.119556]	[19.136 30.516]	[0.114671 0.119556]	3.759e-05	0.238837	0.00413449	0.238837	0.00413449	10	0	34.27	0.0515471
32	1000	[18.421 31.557]	[0.105032 0.105531]	[18.421 31.557]	[0.105032 0.105531]	6.5009e-05	0.264877	0.00407588	0.264877	0.00407588	10	0	34.1735	0.0508443
64	1000	[18.402 31.594]	[0.103075 0.103137]	[18.402 31.594]	[0.103075 0.103137]	0.000124009	0.263857	0.00412363	0.263857	0.00412363	10	0	34.199	0.0515451
128	1000	[18.318 31.682]	[0.103358 0.103358]	[18.318 31.682]	[0.103358 0.103358]	0.00025059	0.26728	0.00413432	0.26728	0.00413432	10	0	34.159	0.051679
256	1000	[18.328 31.672]	[0.105283 0.105283]	[18.328 31.672]	[0.105283 0.105283]	0.000451144	0.26688	0.0042113	0.26688	0.0042113	10	0	34.164	0.0526413
512	1000	[18.544 31.456]	[0.106921 0.106921]	[18.544 31.456]	[0.106921 0.106921]	0.000884445	0.25824	0.00427683	0.25824	0.00427683	10	0	34.272	0.0534604
1024	1000	[18.362 31.638]	[0.102942 0.102942]	[18.362 31.638]	[0.102942 0.102942]	0.0018175	0.26552	0.00411766	0.26552	0.00411766	10	0	34.181	0.0514708
2048	1000	[18.452 31.548]	[0.101369 0.101369]	[18.452 31.548]	[0.101369 0.101369]	0.00360171	0.26192	0.00405476	0.26192	0.00405476	10	0	34.226	0.0506846
4096	1000	[18.332 31.668]	[0.102381 0.102381]	[18.332 31.668]	[0.102381 0.102381]	0.00735321	0.26672	0.00409522	0.26672	0.00409522	10	0	34.166	0.0511903
8192	1000	[18.298 31.702]	[0.102836 0.102836]	[18.298 31.702]	[0.102836 0.102836]	0.0146857	0.26808	0.00411343	0.26808	0.00411343	10	0	34.149	0.0514179
16384	1000	[18.548 31.452]	[0.108091 0.108091]	[18.548 31.452]	[0.108091 0.108091]	0.0295772	0.25808	0.00432365	0.25808	0.00432365	10	0	34.274	0.0540456
32768	1000	[18.368 31.632]	[0.104118 0.104118]	[18.368 31.632]	[0.104118 0.104118]	0.0690118	0.26528	0.00416472	0.26528	0.00416472	10	0	34.184	0.052059
65536	1000	[18.652 31.348]	[0.10457 0.10457]	[18.652 31.348]	[0.10457 0.10457]	0.13116	0.25392	0.0041828	0.25392	0.0041828	10	0	34.326	0.052285
